file_id,audio_length,sample_rate,company_name,financial_quarter,sector,speaker_switches,unique_speakers
4320211,3285.848,24000,Monro Inc,3,Consumer Goods,81,10
4330115,2458.904,24000,Culp Inc,3,Industrial Goods,42,8
4341191,5740.640,24000,General Electric,1,Conglomerate,146,14
4344338,2721.169,44100,Danaher Corp,1,Conglomerate,50,7
4344866,3275.456,24000,Spire Inc,2,Utilities,81,10
4346818,3972.022,11025,Ingersoll Rand,1,Industrial Goods,98,15
4346923,4709.418,16000,Cementos Argos,1,Industrial Goods,119,20
4359732,4887.498,44100,Kuehne Nagel International,2,Services,113,13
4359971,3759.944,24000,Constellium,2,Industrial Goods,115,10
4360366,3906.752,24000,Travelers Companies Inc,2,Financial,103,15
4360674,3595.023,11025,Nextera Energy Inc,2,Utilities,42,9
4360717,4511.312,24000,Fomento Economico Mexicano,2,Consumer Goods,119,15
4361631,4411.446,22050,Enagas,2,Utilities,27,12
4363614,5586.921,11025,Banco Santander,2,Financial,67,17
4364366,3506.050,11025,Mosaic Company,2,Basic Materials,96,6
4365024,4328.676,16000,Nextar Media Group,2,Services,104,13
4365948,2519.009,22050,GCP Applied Technologies,2,Basic Materials,41,6
4366302,3595.049,44100,Healthcare Realty Trusts,2,Financial,92,15
4366429,4010.929,44100,Dentsply Sironas XRay,2,Healthcare,77,13
4366522,1817.901,22050,Aldeyra Therapeutics Inc,2,Healthcare,21,5
4366893,2366.394,16000,Earthstone Energy Inc,2,Basic Materials,50,9
4367318,1720.832,24000,AcelRX Pharmaceuticals Inc,2,Healthcare,36,7
4367535,3175.328,24000,Affimed,2,Healthcare,53,11
4368670,4222.006,22050,RWE Aktiengesellschaft,2,Utilities,94,15
4374910,2028.536,24000,American Express Company,3,Financial,55,2
4375653,3472.184,24000,Illumina,3,Healthcare,31,10
4382825,3795.147,44100,Conocophillips,3,Basic Materials,90,18
4383161,3376.712,24000,Pilgrims Pride Corp,3,Consumer Goods,56,11
4384198,2636.382,44100,New Home Company Inc,3,Industrial Goods,59,9
4384683,1476.776,24000,One Gas Inc,3,Basic Materials,30,8
4384744,3272.000,16000,Adtran Inc,3,Technology,85,9
4384964,4022.624,24000,Eversource,3,Utilities,111,15
4385072,2560.008,24000,Sitime Corp,3,Technology,60,10
4385388,4346.451,44100,Yeti Holdings,3,Consumer Goods,66,12
4385939,3049.832,24000,Hershey Company,3,Consumer Goods,131,19
4386541,1097.100,16000,Cumulus Media Inc,3,Services,16,5
4387332,1310.192,24000,Zagg Inc,3,Services,26,6
4387383,2158.072,22050,Clipper Realty Inc,3,Financial,55,10
4387865,2162.637,11025,Indentiv Inc,3,Technology,49,5
4389907,2058.848,24000,Pheonix New Media Ltd,3,Technology,23,7
4392809,1438.040,24000,Lands End Inc,3,Services,25,6
4394084,1758.024,16000,Innovative Solutions and Support Inc,4,Technology,40,6
4397800,2771.672,24000,Rev Group Inc,4,Conglomerate,67,9
4397829,4472.768,24000,Bed Bath and Beyond Inc,3,Conglomerate,76,15
